word,arpabet,syllables,tokenized_word,hamming_distance,word_frequency,phon_vec
ana,"['AA', 'N', 'AH']",['ana'],['ana'],0.0,7.76e-06,"[1, 27, 3, 0, 0, 0, 0, 0]"
postings,"['P', 'OW', 'S', 'T', 'IH', 'NG', 'Z']","['post', 'ings']","['post', 'ings']",0.0,1.38e-06,"[29, 12, 31, 33, 10, 28, 38, 0]"
postcards,"['P', 'OW', 'S', 'T', 'K', 'AA', 'R', 'D', 'Z']","['post', 'cards']","['post', 'cards']",0.0,1.91e-06,"[29, 12, 31, 33, 24, 1, 30, 18]"
wait,"['W', 'EY', 'T']",['wait'],['wait'],0.0,0.000224,"[36, 9, 33, 0, 0, 0, 0, 0]"
pick,"['P', 'IH', 'K']",['pick'],['pick'],0.0,0.00012,"[29, 10, 24, 0, 0, 0, 0, 0]"
stream,"['S', 'T', 'R', 'IY', 'M']",['stream'],['stream'],0.0,4.17e-05,"[31, 33, 30, 11, 26, 0, 0, 0]"
apartments,"['AH', 'P', 'AA', 'R', 'T', 'M', 'AH', 'N', 'T', 'S']","['apart', 'ments']","['apart', 'ments']",0.0,1.02e-05,"[3, 29, 1, 30, 33, 26, 3, 27]"
withdrawal,"['W', 'IH', 'DH', 'D', 'R', 'AO', 'AH', 'L']","['with', 'draw', 'al']","['with', 'draw', 'al']",0.0,1.12e-05,"[36, 10, 19, 18, 30, 4, 3, 25]"
failures,"['F', 'EY', 'L', 'Y', 'ER', 'Z']","['fail', 'ures']","['fail', 'ures']",0.0,9.77e-06,"[20, 9, 25, 37, 8, 38, 0, 0]"
nails,"['N', 'EY', 'L', 'Z']",['nails'],['nails'],0.0,1.1e-05,"[27, 9, 25, 38, 0, 0, 0, 0]"
rides,"['R', 'AY', 'D', 'Z']",['rides'],['rides'],0.0,1.15e-05,"[30, 6, 18, 38, 0, 0, 0, 0]"
rehab,"['R', 'IY', 'HH', 'AE', 'B']","['re', 'hab']","['re', 'hab']",0.0,6.17e-06,"[30, 11, 22, 2, 16, 0, 0, 0]"
saturn,"['S', 'AE', 'T', 'ER', 'N']","['sat', 'urn']","['sat', 'urn']",0.0,3.47e-06,"[31, 2, 33, 8, 27, 0, 0, 0]"
nut,"['N', 'AH', 'T']",['nut'],['nut'],0.0,1.1e-05,"[27, 3, 33, 0, 0, 0, 0, 0]"
rose,"['R', 'OW', 'Z']",['rose'],['rose'],0.0,6.61e-05,"[30, 12, 38, 0, 0, 0, 0, 0]"
therapy,"['TH', 'EH', 'R', 'AH', 'P', 'IY']","['ther', 'apy']","['ther', 'apy']",0.0,3.31e-05,"[34, 7, 30, 3, 29, 11, 0, 0]"
strict,"['S', 'T', 'R', 'IH', 'K', 'T']",['strict'],['strict'],0.0,1.7e-05,"[31, 33, 30, 10, 24, 33, 0, 0]"
protest,"['P', 'R', 'OW', 'T', 'EH', 'S', 'T']",['protest'],['protest'],0.0,2.82e-05,"[29, 30, 12, 33, 7, 31, 33, 0]"
letting,"['L', 'EH', 'T', 'IH', 'NG']","['let', 'ting']","['let', 'ting']",0.0,3.39e-05,"[25, 7, 33, 10, 28, 0, 0, 0]"
gray,"['G', 'R', 'EY']",['gray'],['gray'],0.0,2.82e-05,"[21, 30, 9, 0, 0, 0, 0, 0]"
canal,"['K', 'AH', 'N', 'AE', 'L']",['canal'],['canal'],0.0,1.66e-05,"[24, 3, 27, 2, 25, 0, 0, 0]"
amino,"['AH', 'M', 'IY', 'N', 'OW']",['amino'],['amino'],0.0,5.25e-06,"[3, 26, 11, 27, 12, 0, 0, 0]"
phi,"['F', 'AY']",['phi'],['phi'],0.0,3.55e-06,"[20, 6, 0, 0, 0, 0, 0, 0]"
slot,"['S', 'L', 'AA', 'T']",['slot'],['slot'],0.0,1.23e-05,"[31, 25, 1, 33, 0, 0, 0, 0]"
samsung,"['S', 'AE', 'M', 'S', 'AH', 'NG']","['sam', 'sung']","['sam', 'sung']",0.0,1.32e-05,"[31, 2, 26, 31, 3, 28, 0, 0]"
miniature,"['M', 'IH', 'N', 'IY', 'AH', 'CH', 'UH', 'R']","['mini', 'ature']","['mini', 'ature']",0.0,5.25e-06,"[26, 10, 27, 11, 3, 17, 14, 30]"
pirates,"['P', 'AY', 'R', 'AH', 'T', 'S']","['pir', 'ates']","['pir', 'ates']",0.0,9.77e-06,"[29, 6, 30, 3, 33, 31, 0, 0]"
consequence,"['K', 'AA', 'N', 'S', 'AH', 'K', 'W', 'AH', 'N', 'S']","['con', 'sequence']","['con', 'sequence']",0.0,1.17e-05,"[24, 1, 27, 31, 3, 24, 36, 3]"
marine,"['M', 'ER', 'IY', 'N']","['mar', 'ine']","['mar', 'ine']",0.0,3.39e-05,"[26, 8, 11, 27, 0, 0, 0, 0]"
harold,"['HH', 'EH', 'R', 'AH', 'L', 'D']","['har', 'old']","['har', 'old']",0.0,1.07e-05,"[22, 7, 30, 3, 25, 18, 0, 0]"
watching,"['W', 'AA', 'CH', 'IH', 'NG']","['watch', 'ing']","['watch', 'ing']",0.0,0.000105,"[36, 1, 17, 10, 28, 0, 0, 0]"
mirror,"['M', 'IH', 'R', 'ER']","['mir', 'ror']","['mir', 'ror']",0.0,2.95e-05,"[26, 10, 30, 8, 0, 0, 0, 0]"
sterling,"['S', 'T', 'ER', 'L', 'IH', 'NG']","['ster', 'ling']","['ster', 'ling']",0.0,1.35e-05,"[31, 33, 8, 25, 10, 28, 0, 0]"
statutes,"['S', 'T', 'AE', 'CH', 'UW', 'T', 'S']","['stat', 'utes']","['stat', 'utes']",0.0,3.16e-06,"[31, 33, 2, 17, 15, 33, 31, 0]"
prime,"['P', 'R', 'AY', 'M']",['prime'],['prime'],0.0,6.46e-05,"[29, 30, 6, 26, 0, 0, 0, 0]"
tent,"['T', 'EH', 'N', 'T']",['tent'],['tent'],0.0,1.12e-05,"[33, 7, 27, 33, 0, 0, 0, 0]"
steps,"['S', 'T', 'EH', 'P', 'S']",['steps'],['steps'],0.0,5.37e-05,"[31, 33, 7, 29, 31, 0, 0, 0]"
shops,"['SH', 'AA', 'P', 'S']",['shops'],['shops'],0.0,2.19e-05,"[32, 1, 29, 31, 0, 0, 0, 0]"
reasons,"['R', 'IY', 'Z', 'AH', 'N', 'Z']","['reas', 'ons']","['reas', 'ons']",0.0,8.51e-05,"[30, 11, 38, 3, 27, 38, 0, 0]"
mount,"['M', 'AW', 'N', 'T']",['mount'],['mount'],0.0,2.95e-05,"[26, 5, 27, 33, 0, 0, 0, 0]"
finding,"['F', 'AY', 'N', 'D', 'IH', 'NG']","['find', 'ing']","['find', 'ing']",0.0,7.08e-05,"[20, 6, 27, 18, 10, 28, 0, 0]"
saying,"['S', 'EY', 'IH', 'NG']","['say', 'ing']","['say', 'ing']",0.0,0.000234,"[31, 9, 10, 28, 0, 0, 0, 0]"
touch,"['T', 'AH', 'CH']",['touch'],['touch'],0.0,8.13e-05,"[33, 3, 17, 0, 0, 0, 0, 0]"
chain,"['CH', 'EY', 'N']",['chain'],['chain'],0.0,4.47e-05,"[17, 9, 27, 0, 0, 0, 0, 0]"
eva,"['EY', 'V', 'AH']",['eva'],['eva'],0.0,7.94e-06,"[9, 35, 3, 0, 0, 0, 0, 0]"
potter,"['P', 'AA', 'T', 'ER']","['pot', 'ter']","['pot', 'ter']",0.0,1.29e-05,"[29, 1, 33, 8, 0, 0, 0, 0]"
licking,"['L', 'IH', 'K', 'IH', 'NG']","['lick', 'ing']","['lick', 'ing']",0.0,3.24e-06,"[25, 10, 24, 10, 28, 0, 0, 0]"
earthquake,"['ER', 'TH', 'K', 'W', 'EY', 'K']","['earth', 'quake']","['earth', 'quake']",0.0,1.41e-05,"[8, 34, 24, 36, 9, 24, 0, 0]"
carlos,"['K', 'AA', 'R', 'L', 'OW', 'S']","['car', 'los']","['car', 'los']",0.0,1.23e-05,"[24, 1, 30, 25, 12, 31, 0, 0]"
lock,"['L', 'AA', 'K']",['lock'],['lock'],0.0,3.24e-05,"[25, 1, 24, 0, 0, 0, 0, 0]"
nickname,"['N', 'IH', 'K', 'N', 'EY', 'M']","['nick', 'name']","['nick', 'name']",0.0,8.13e-06,"[27, 10, 24, 27, 9, 26, 0, 0]"
washing,"['W', 'AA', 'SH', 'IH', 'NG']","['wash', 'ing']","['wash', 'ing']",0.0,1.35e-05,"[36, 1, 32, 10, 28, 0, 0, 0]"
raid,"['R', 'EY', 'D']",['raid'],['raid'],0.0,1.55e-05,"[30, 9, 18, 0, 0, 0, 0, 0]"
timber,"['T', 'IH', 'M', 'B', 'ER']","['tim', 'ber']","['tim', 'ber']",0.0,1.02e-05,"[33, 10, 26, 16, 8, 0, 0, 0]"
winner,"['W', 'IH', 'N', 'ER']","['win', 'ner']","['win', 'ner']",0.0,6.31e-05,"[36, 10, 27, 8, 0, 0, 0, 0]"
factor,"['F', 'AE', 'K', 'T', 'ER']",['factor'],['factor'],0.0,4.68e-05,"[20, 2, 24, 33, 8, 0, 0, 0]"
circuits,"['S', 'ER', 'K', 'AH', 'T', 'S']","['cir', 'cuits']","['cir', 'cuits']",0.0,5.89e-06,"[31, 8, 24, 3, 33, 31, 0, 0]"
jar,"['JH', 'AA', 'R']",['jar'],['jar'],0.0,8.51e-06,"[23, 1, 30, 0, 0, 0, 0, 0]"
drop,"['D', 'R', 'AA', 'P']",['drop'],['drop'],0.0,9.77e-05,"[18, 30, 1, 29, 0, 0, 0, 0]"
theme,"['TH', 'IY', 'M']",['theme'],['theme'],0.0,4.17e-05,"[34, 11, 26, 0, 0, 0, 0, 0]"
rich,"['R', 'IH', 'CH']",['rich'],['rich'],0.0,8.13e-05,"[30, 10, 17, 0, 0, 0, 0, 0]"
tags,"['T', 'AE', 'G', 'Z']",['tags'],['tags'],0.0,6.61e-06,"[33, 2, 21, 38, 0, 0, 0, 0]"
covered,"['K', 'AH', 'V', 'ER', 'D']",['covered'],['covered'],0.0,6.76e-05,"[24, 3, 35, 8, 18, 0, 0, 0]"
translated,"['T', 'R', 'AE', 'N', 'Z', 'L', 'EY', 'T', 'AH', 'D']","['trans', 'lated']","['trans', 'lated']",0.0,1.41e-05,"[33, 30, 2, 27, 38, 25, 9, 33]"
nottingham,"['N', 'AA', 'T', 'IH', 'NG', 'HH', 'AE', 'M']","['not', 'ting', 'ham']","['not', 'ting', 'ham']",0.0,5.25e-06,"[27, 1, 33, 10, 28, 22, 2, 26]"
raise,"['R', 'EY', 'Z']",['raise'],['raise'],0.0,5.62e-05,"[30, 9, 38, 0, 0, 0, 0, 0]"
crime,"['K', 'R', 'AY', 'M']",['crime'],['crime'],0.0,7.76e-05,"[24, 30, 6, 26, 0, 0, 0, 0]"
count,"['K', 'AW', 'N', 'T']",['count'],['count'],0.0,6.76e-05,"[24, 5, 27, 33, 0, 0, 0, 0]"
johnson,"['JH', 'AA', 'N', 'S', 'AH', 'N']","['john', 'son']","['john', 'son']",0.0,5.25e-05,"[23, 1, 27, 31, 3, 27, 0, 0]"
claim,"['K', 'L', 'EY', 'M']",['claim'],['claim'],0.0,8.91e-05,"[24, 25, 9, 26, 0, 0, 0, 0]"
surgery,"['S', 'ER', 'JH', 'ER', 'IY']","['sur', 'gery']","['sur', 'gery']",0.0,4.27e-05,"[31, 8, 23, 8, 11, 0, 0, 0]"
patch,"['P', 'AE', 'CH']",['patch'],['patch'],0.0,1.58e-05,"[29, 2, 17, 0, 0, 0, 0, 0]"
eau,['OW'],['eau'],['eau'],0.0,1.41e-06,"[12, 0, 0, 0, 0, 0, 0, 0]"
foot,"['F', 'UH', 'T']",['foot'],['foot'],0.0,7.41e-05,"[20, 14, 33, 0, 0, 0, 0, 0]"
gary,"['G', 'EH', 'R', 'IY']",['gary'],['gary'],0.0,2.45e-05,"[21, 7, 30, 11, 0, 0, 0, 0]"
rome,"['R', 'OW', 'M']",['rome'],['rome'],0.0,2.82e-05,"[30, 12, 26, 0, 0, 0, 0, 0]"
unlikely,"['AH', 'N', 'L', 'AY', 'K', 'L', 'IY']","['un', 'likely']","['un', 'likely']",0.0,2.04e-05,"[3, 27, 25, 6, 24, 25, 11, 0]"
cant,"['K', 'AE', 'N', 'T']",['cant'],['cant'],0.0,2.24e-05,"[24, 2, 27, 33, 0, 0, 0, 0]"
miss,"['M', 'IH', 'S']",['miss'],['miss'],0.0,0.000166,"[26, 10, 31, 0, 0, 0, 0, 0]"
task,"['T', 'AE', 'S', 'K']",['task'],['task'],0.0,4.47e-05,"[33, 2, 31, 24, 0, 0, 0, 0]"
himself,"['HH', 'IH', 'M', 'S', 'EH', 'L', 'F']","['him', 'self']","['him', 'self']",0.0,0.000178,"[22, 10, 26, 31, 7, 25, 20, 0]"
reggae,"['R', 'EH', 'G', 'EY']","['reg', 'gae']","['reg', 'gae']",0.0,2.95e-06,"[30, 7, 21, 9, 0, 0, 0, 0]"
mid,"['M', 'IH', 'D']",['mid'],['mid'],0.0,6.61e-05,"[26, 10, 18, 0, 0, 0, 0, 0]"
soft,"['S', 'AA', 'F', 'T']",['soft'],['soft'],0.0,4.79e-05,"[31, 1, 20, 33, 0, 0, 0, 0]"
heat,"['HH', 'IY', 'T']",['heat'],['heat'],0.0,7.24e-05,"[22, 11, 33, 0, 0, 0, 0, 0]"
wild,"['W', 'AY', 'L', 'D']",['wild'],['wild'],0.0,6.31e-05,"[36, 6, 25, 18, 0, 0, 0, 0]"
alan,"['AE', 'L', 'AH', 'N']",['alan'],['alan'],0.0,2.82e-05,"[2, 25, 3, 27, 0, 0, 0, 0]"
clicking,"['K', 'L', 'IH', 'K', 'IH', 'NG']","['click', 'ing']","['click', 'ing']",0.0,8.13e-06,"[24, 25, 10, 24, 10, 28, 0, 0]"
sum,"['S', 'AH', 'M']",['sum'],['sum'],0.0,2.19e-05,"[31, 3, 26, 0, 0, 0, 0, 0]"
downtown,"['D', 'AW', 'N', 'T', 'AW', 'N']","['down', 'town']","['down', 'town']",0.0,2.51e-05,"[18, 5, 27, 33, 5, 27, 0, 0]"
cornwall,"['K', 'AO', 'R', 'N', 'W', 'AO', 'L']","['corn', 'wall']","['corn', 'wall']",0.0,5.89e-06,"[24, 4, 30, 27, 36, 4, 25, 0]"
pros,"['P', 'R', 'OW', 'Z']",['pros'],['pros'],0.0,7.41e-06,"[29, 30, 12, 38, 0, 0, 0, 0]"
rec,"['R', 'EH', 'K']",['rec'],['rec'],0.0,4.17e-06,"[30, 7, 24, 0, 0, 0, 0, 0]"
complicated,"['K', 'AA', 'M', 'P', 'L', 'AH', 'K', 'EY', 'T', 'AH', 'D']","['com', 'plic', 'ated']","['com', 'plic', 'ated']",0.0,2.95e-05,"[24, 1, 26, 29, 25, 3, 24, 9]"
chem,"['K', 'EH', 'M']",['chem'],['chem'],0.0,2.88e-06,"[24, 7, 26, 0, 0, 0, 0, 0]"
fastest,"['F', 'AE', 'S', 'T', 'AH', 'S', 'T']","['fast', 'est']","['fast', 'est']",0.0,1.74e-05,"[20, 2, 31, 33, 3, 31, 33, 0]"
jamie,"['JH', 'EY', 'M', 'IY']","['jam', 'ie']","['jam', 'ie']",0.0,1.48e-05,"[23, 9, 26, 11, 0, 0, 0, 0]"
shell,"['SH', 'EH', 'L']",['shell'],['shell'],0.0,2.45e-05,"[32, 7, 25, 0, 0, 0, 0, 0]"
inquiries,"['IH', 'N', 'K', 'W', 'AY', 'ER', 'IY', 'Z']","['in', 'quir', 'ies']","['in', 'quir', 'ies']",0.0,6.46e-06,"[10, 27, 24, 36, 6, 8, 11, 38]"
mass,"['M', 'AE', 'S']",['mass'],['mass'],0.0,7.41e-05,"[26, 2, 31, 0, 0, 0, 0, 0]"
reforms,"['R', 'AH', 'F', 'AO', 'R', 'M', 'Z']","['re', 'forms']","['re', 'forms']",0.0,1.15e-05,"[30, 3, 20, 4, 30, 26, 38, 0]"
alto,"['AE', 'L', 'T', 'OW']",['alto'],['alto'],0.0,2.95e-06,"[2, 25, 33, 12, 0, 0, 0, 0]"
girlfriend,"['G', 'ER', 'L', 'F', 'R', 'EH', 'N', 'D']","['girl', 'friend']","['girl', 'friend']",0.0,4.79e-05,"[21, 8, 25, 20, 30, 7, 27, 18]"
hierarchy,"['HH', 'AY', 'ER', 'AA', 'R', 'K', 'IY']","['hier', 'archy']","['hier', 'archy']",0.0,6.03e-06,"[22, 6, 8, 1, 30, 24, 11, 0]"
influenced,"['IH', 'N', 'F', 'L', 'UW', 'AH', 'N', 'S', 'T']","['in', 'flu', 'enced']","['in', 'flu', 'enced']",0.0,1.58e-05,"[10, 27, 20, 25, 15, 3, 27, 31]"
americas,"['AH', 'M', 'EH', 'R', 'AH', 'K', 'AH', 'Z']","['amer', 'icas']","['amer', 'icas']",0.0,5.5e-06,"[3, 26, 7, 30, 3, 24, 3, 38]"
adam,"['AE', 'D', 'AH', 'M']",['adam'],['adam'],0.0,3.72e-05,"[2, 18, 3, 26, 0, 0, 0, 0]"
cookbook,"['K', 'UH', 'K', 'B', 'UH', 'K']","['cook', 'book']","['cook', 'book']",0.0,2.29e-06,"[24, 14, 24, 16, 14, 24, 0, 0]"
ton,"['T', 'AH', 'N']",['ton'],['ton'],0.0,1.95e-05,"[33, 3, 27, 0, 0, 0, 0, 0]"
und,"['AH', 'N', 'D']",['und'],['und'],0.0,8.71e-06,"[3, 27, 18, 0, 0, 0, 0, 0]"
demo,"['D', 'EH', 'M', 'OW']",['demo'],['demo'],0.0,1.15e-05,"[18, 7, 26, 12, 0, 0, 0, 0]"
behalf,"['B', 'IH', 'HH', 'AE', 'F']","['be', 'half']","['be', 'half']",0.0,2.63e-05,"[16, 10, 22, 2, 20, 0, 0, 0]"
sara,"['S', 'EH', 'R', 'AH']",['sara'],['sara'],0.0,9.12e-06,"[31, 7, 30, 3, 0, 0, 0, 0]"
bra,"['B', 'R', 'AA']",['bra'],['bra'],0.0,7.08e-06,"[16, 30, 1, 0, 0, 0, 0, 0]"
myers,"['M', 'AY', 'ER', 'Z']","['my', 'ers']","['my', 'ers']",0.0,5.37e-06,"[26, 6, 8, 38, 0, 0, 0, 0]"
enrolled,"['EH', 'N', 'R', 'OW', 'L', 'D']","['en', 'rolled']","['en', 'rolled']",0.0,8.32e-06,"[7, 27, 30, 12, 25, 18, 0, 0]"
orleans,"['AO', 'R', 'L', 'IY', 'AH', 'N', 'Z']","['or', 'leans']","['or', 'leans']",0.0,1.62e-05,"[4, 30, 25, 11, 3, 27, 38, 0]"
affordable,"['AH', 'F', 'AO', 'R', 'D', 'AH', 'B', 'AH', 'L']","['af', 'ford', 'able']","['af', 'ford', 'able']",0.0,1.66e-05,"[3, 20, 4, 30, 18, 3, 16, 3]"
patent,"['P', 'AE', 'T', 'AH', 'N', 'T']","['pat', 'ent']","['pat', 'ent']",0.0,1.51e-05,"[29, 2, 33, 3, 27, 33, 0, 0]"
rice,"['R', 'AY', 'S']",['rice'],['rice'],0.0,3.55e-05,"[30, 6, 31, 0, 0, 0, 0, 0]"
loop,"['L', 'UW', 'P']",['loop'],['loop'],0.0,1.95e-05,"[25, 15, 29, 0, 0, 0, 0, 0]"
guard,"['G', 'AA', 'R', 'D']",['guard'],['guard'],0.0,5.37e-05,"[21, 1, 30, 18, 0, 0, 0, 0]"
entries,"['EH', 'N', 'T', 'R', 'IY', 'Z']",['entries'],['entries'],0.0,1.23e-05,"[7, 27, 33, 30, 11, 38, 0, 0]"
dates,"['D', 'EY', 'T', 'S']",['dates'],['dates'],0.0,3.47e-05,"[18, 9, 33, 31, 0, 0, 0, 0]"
joint,"['JH', 'OY', 'N', 'T']",['joint'],['joint'],0.0,5.13e-05,"[23, 13, 27, 33, 0, 0, 0, 0]"
fresh,"['F', 'R', 'EH', 'SH']",['fresh'],['fresh'],0.0,6.76e-05,"[20, 30, 7, 32, 0, 0, 0, 0]"
nor,"['N', 'AO', 'R']",['nor'],['nor'],0.0,6.03e-05,"[27, 4, 30, 0, 0, 0, 0, 0]"
particle,"['P', 'AA', 'R', 'T', 'AH', 'K', 'AH', 'L']",['particle'],['particle'],0.0,7.94e-06,"[29, 1, 30, 33, 3, 24, 3, 25]"
boxing,"['B', 'AA', 'K', 'S', 'IH', 'NG']","['box', 'ing']","['box', 'ing']",0.0,1.48e-05,"[16, 1, 24, 31, 10, 28, 0, 0]"
avatar,"['AE', 'V', 'AH', 'T', 'AA', 'R']",['avatar'],['avatar'],0.0,4.9e-06,"[2, 35, 3, 33, 1, 30, 0, 0]"
seconds,"['S', 'EH', 'K', 'AH', 'N', 'D', 'Z']",['seconds'],['seconds'],0.0,7.24e-05,"[31, 7, 24, 3, 27, 18, 38, 0]"
keyword,"['K', 'IY', 'W', 'ER', 'D']",['keyword'],['keyword'],0.0,1.95e-06,"[24, 11, 36, 8, 18, 0, 0, 0]"
flight,"['F', 'L', 'AY', 'T']",['flight'],['flight'],0.0,7.24e-05,"[20, 25, 6, 33, 0, 0, 0, 0]"
fuel,"['F', 'Y', 'UW', 'AH', 'L']",['fuel'],['fuel'],0.0,5.25e-05,"[20, 37, 15, 3, 25, 0, 0, 0]"
walk,"['W', 'AO', 'K']",['walk'],['walk'],0.0,0.00012,"[36, 4, 24, 0, 0, 0, 0, 0]"
produced,"['P', 'R', 'AH', 'D', 'UW', 'S', 'T']","['pro', 'duced']","['pro', 'duced']",0.0,7.41e-05,"[29, 30, 3, 18, 15, 31, 33, 0]"
performs,"['P', 'ER', 'F', 'AO', 'R', 'M', 'Z']","['per', 'forms']","['per', 'forms']",0.0,9.33e-06,"[29, 8, 20, 4, 30, 26, 38, 0]"
bug,"['B', 'AH', 'G']",['bug'],['bug'],0.0,1.58e-05,"[16, 3, 21, 0, 0, 0, 0, 0]"
panic,"['P', 'AE', 'N', 'IH', 'K']","['pan', 'ic']","['pan', 'ic']",0.0,1.82e-05,"[29, 2, 27, 10, 24, 0, 0, 0]"
leone,"['L', 'IY', 'OW', 'N']","['le', 'one']","['le', 'one']",0.0,4.37e-06,"[25, 11, 12, 27, 0, 0, 0, 0]"
planes,"['P', 'L', 'EY', 'N', 'Z']",['planes'],['planes'],0.0,1.45e-05,"[29, 25, 9, 27, 38, 0, 0, 0]"
arbitrary,"['AA', 'R', 'B', 'AH', 'T', 'R', 'EH', 'R', 'IY']","['ar', 'bit', 'rary']","['ar', 'bit', 'rary']",0.0,7.08e-06,"[1, 30, 16, 3, 33, 30, 7, 30]"
sans,"['S', 'AE', 'N', 'Z']",['sans'],['sans'],0.0,3.8e-06,"[31, 2, 27, 38, 0, 0, 0, 0]"
lean,"['L', 'IY', 'N']",['lean'],['lean'],0.0,1.38e-05,"[25, 11, 27, 0, 0, 0, 0, 0]"
bye,"['B', 'AY']",['bye'],['bye'],0.0,2.45e-05,"[16, 6, 0, 0, 0, 0, 0, 0]"
alone,"['AH', 'L', 'OW', 'N']",['alone'],['alone'],0.0,0.000145,"[3, 25, 12, 27, 0, 0, 0, 0]"
purposes,"['P', 'ER', 'P', 'AH', 'S', 'AH', 'Z']","['pur', 'poses']","['pur', 'poses']",0.0,3.24e-05,"[29, 8, 29, 3, 31, 3, 38, 0]"
shine,"['SH', 'AY', 'N']",['shine'],['shine'],0.0,1.48e-05,"[32, 6, 27, 0, 0, 0, 0, 0]"
thomson,"['T', 'AA', 'M', 'S', 'AH', 'N']","['thom', 'son']","['thom', 'son']",0.0,6.03e-06,"[33, 1, 26, 31, 3, 27, 0, 0]"
rabbit,"['R', 'AE', 'B', 'AH', 'T']","['rab', 'bit']","['rab', 'bit']",0.0,1.12e-05,"[30, 2, 16, 3, 33, 0, 0, 0]"
dam,"['D', 'AE', 'M']",['dam'],['dam'],0.0,1.48e-05,"[18, 2, 26, 0, 0, 0, 0, 0]"
lil,"['L', 'IH', 'L']",['lil'],['lil'],0.0,7.59e-06,"[25, 10, 25, 0, 0, 0, 0, 0]"
honolulu,"['HH', 'AA', 'N', 'AH', 'L', 'UW', 'L', 'UW']","['hon', 'olulu']","['hon', 'olulu']",0.0,3.16e-06,"[22, 1, 27, 3, 25, 15, 25, 15]"
exchanges,"['IH', 'K', 'S', 'CH', 'EY', 'N', 'JH', 'AH', 'Z']","['ex', 'changes']","['ex', 'changes']",0.0,8.91e-06,"[10, 24, 31, 17, 9, 27, 23, 3]"
pond,"['P', 'AA', 'N', 'D']",['pond'],['pond'],0.0,9.55e-06,"[29, 1, 27, 18, 0, 0, 0, 0]"
rolls,"['R', 'OW', 'L', 'Z']",['rolls'],['rolls'],0.0,1.7e-05,"[30, 12, 25, 38, 0, 0, 0, 0]"
break,"['B', 'R', 'EY', 'K']",['break'],['break'],0.0,0.000151,"[16, 30, 9, 24, 0, 0, 0, 0]"
garlic,"['G', 'AA', 'R', 'L', 'IH', 'K']","['gar', 'lic']","['gar', 'lic']",0.0,8.32e-06,"[21, 1, 30, 25, 10, 24, 0, 0]"
places,"['P', 'L', 'EY', 'S', 'AH', 'Z']",['places'],['places'],0.0,0.000107,"[29, 25, 9, 31, 3, 38, 0, 0]"
pretty,"['P', 'R', 'IH', 'T', 'IY']",['pretty'],['pretty'],0.0,0.00024,"[29, 30, 10, 33, 11, 0, 0, 0]"
southern,"['S', 'AH', 'DH', 'ER', 'N']","['south', 'ern']","['south', 'ern']",0.0,6.92e-05,"[31, 3, 19, 8, 27, 0, 0, 0]"
etc,"['EH', 'T', 'S', 'EH', 'T', 'ER', 'AH']",['etc'],['etc'],0.0,0.000107,"[7, 33, 31, 7, 33, 8, 3, 0]"
battery,"['B', 'AE', 'T', 'ER', 'IY']","['bat', 'tery']","['bat', 'tery']",0.0,3.31e-05,"[16, 2, 33, 8, 11, 0, 0, 0]"
trainer,"['T', 'R', 'EY', 'N', 'ER']","['train', 'er']","['train', 'er']",0.0,1.2e-05,"[33, 30, 9, 27, 8, 0, 0, 0]"
ing,"['IH', 'NG']",['ing'],['ing'],0.0,8.91e-06,"[10, 28, 0, 0, 0, 0, 0, 0]"
benchmark,"['B', 'EH', 'N', 'CH', 'M', 'AA', 'R', 'K']","['bench', 'mark']","['bench', 'mark']",0.0,3.98e-06,"[16, 7, 27, 17, 26, 1, 30, 24]"
bedford,"['B', 'EH', 'D', 'F', 'ER', 'D']","['bed', 'ford']","['bed', 'ford']",0.0,3.98e-06,"[16, 7, 18, 20, 8, 18, 0, 0]"
race,"['R', 'EY', 'S']",['race'],['race'],0.0,0.00012,"[30, 9, 31, 0, 0, 0, 0, 0]"
mini,"['M', 'IH', 'N', 'IY']",['mini'],['mini'],0.0,2.75e-05,"[26, 10, 27, 11, 0, 0, 0, 0]"
politics,"['P', 'AA', 'L', 'AH', 'T', 'IH', 'K', 'S']","['polit', 'ics']","['polit', 'ics']",0.0,7.41e-05,"[29, 1, 25, 3, 33, 10, 24, 31]"
boards,"['B', 'AO', 'R', 'D', 'Z']",['boards'],['boards'],0.0,2.04e-05,"[16, 4, 30, 18, 38, 0, 0, 0]"
drag,"['D', 'R', 'AE', 'G']",['drag'],['drag'],0.0,1.95e-05,"[18, 30, 2, 21, 0, 0, 0, 0]"
somehow,"['S', 'AH', 'M', 'HH', 'AW']","['some', 'how']","['some', 'how']",0.0,3.39e-05,"[31, 3, 26, 22, 5, 0, 0, 0]"
grade,"['G', 'R', 'EY', 'D']",['grade'],['grade'],0.0,6.31e-05,"[21, 30, 9, 18, 0, 0, 0, 0]"
pop,"['P', 'AA', 'P']",['pop'],['pop'],0.0,7.41e-05,"[29, 1, 29, 0, 0, 0, 0, 0]"
stage,"['S', 'T', 'EY', 'JH']",['stage'],['stage'],0.0,0.000126,"[31, 33, 9, 23, 0, 0, 0, 0]"
born,"['B', 'AO', 'R', 'N']",['born'],['born'],0.0,0.000123,"[16, 4, 30, 27, 0, 0, 0, 0]"
hit,"['HH', 'IH', 'T']",['hit'],['hit'],0.0,0.000234,"[22, 10, 33, 0, 0, 0, 0, 0]"
